id,seed,creation_mode,error_val,dem_fpr_val,error_tst,dem_fpr_tst,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
7MMTICQS2S,105,inicialization,0.211937117972967,0.04240407274285306,0.2206966383553156,0.03819409471583385,0.08932880895066508,46,9,8,0.19026968596802107,198,0.5899157964887046
H82WC4V16O,105,crossover,0.25195941428819923,0.012117362119444912,0.2615901996754857,0.01657527092309701,0.9494022380872814,41,17,4,0.08192509812279185,86,0.701812411109166
NVPXM32V8S,105,mutation,0.20850538223569526,0.04001928066458785,0.22073330172321293,0.03433868651259956,0.16233075799521582,35,17,8,0.13384221354380293,127,0.7833642484758215
GP4NGWV85M,105,mutation,0.22848725497935096,0.025341577205969863,0.23111659725185385,0.03144386622647492,0.36220223632467496,50,11,5,0.08503521895517614,113,0.2640080249598748
42Z4R48TOV,105,crossover,0.25690081740646253,0.012465485230058797,0.2622551797014243,0.018124335515639863,0.27572173360717656,40,15,8,0.04701115522763988,57,0.41436011739710643
NBFGEY3XCD,105,inicialization,0.26835095078026416,0.011523767584680204,0.2726392461349314,0.01986365247234812,0.6980256118545479,49,3,5,0.07820222480651151,53,0.32566766210270265
XLOJV7TVQD,105,crossover,0.25569672779877006,0.011861476756087695,0.26281082674311307,0.012906384645515082,0.37587612730312664,40,23,6,0.03756477761586489,109,0.5661930296406056
YSCUI2QXZD,105,crossover,0.24995523079494442,0.015781581014496206,0.25774585148122897,0.020632122806035852,0.7781488979653799,20,13,10,0.043921251163517624,121,0.28890168706229385
S7H0WSQIH9,105,inicialization,0.23520023122680844,0.029435743019685316,0.238913471390102,0.026612015742450527,0.48109102884149757,49,35,17,0.1205750213990532,52,0.27215836482639516
GNVHNLIXQT,105,crossover,0.20997450937425954,0.03814625931303706,0.21908001929099397,0.03452987148639322,0.5312164159826611,27,15,11,0.1499538415952239,138,0.6004777309414848
